inferred_edges_pow
20129
20120
20115
20114
20099
20098
20096
20084
20077
20071
20066
20054
20047
20036
20020
20017
20008
20004
19982
19969
19946
19927
19917
19901
19878
19818
19748
19640
19502
19380
19250
19079
18909
18647
18374
18072
17732
17393
17043
16683
16341
15980
15618
15253
14872
14511
14140
13775
13367
12939
12509
12059
11656
11243
10863
10485
10113
9764
9449
9066
8694
8345
8025
7715
7431
7161
6864
6593
6303
6025
5785
5519
5283
5070
4873
4640
4465
4276
4118
3939
3797
3627
3461
3329
3191
3064
2963
2858
2772
2675
2581
2494
2398
2300
2232
2145
2077
2013
1962
1899
