inferred_edges_ray
16930
12783
11483
10727
10192
9817
9527
9224
8948
8754
8581
8377
8241
8102
7975
7866
7757
7653
7577
7499
7416
7351
7294
7214
7147
7079
7006
6950
6902
6846
6790
6743
6699
6658
6607
6556
6511
6461
6416
6372
6338
6291
6250
6214
6180
6151
6111
6081
6047
6017
5990
5952
5926
5900
5867
5840
5820
5791
5758
5721
5700
5673
5654
5625
5600
5578
5558
5537
5517
5494
5476
5452
5434
5412
5393
5379
5353
5340
5320
5306
5290
5277
5258
5240
5218
5201
5193
5182
5166
5148
5132
5117
5107
5096
5081
5069
5059
5047
5033
5021
