inferred_edges_expo
20434
11949
9499
8033
7137
6422
5873
5416
5067
4764
4516
4291
4116
3932
3798
3642
3499
3397
3281
3183
3093
3007
2956
2890
2825
2783
2741
2678
2626
2583
2542
2497
2454
2414
2371
2322
2288
2265
2235
2198
2166
2139
2105
2086
2062
2044
2018
2000
1982
1969
1951
1927
1911
1890
1874
1859
1845
1829
1812
1795
1777
1769
1755
1739
1727
1716
1710
1698
1692
1684
1680
1668
1659
1654
1649
1643
1640
1633
1625
1621
1608
1601
1588
1580
1563
1556
1549
1542
1533
1527
1518
1512
1507
1502
1497
1492
1487
1483
1477
1473
