UserId,degree,betweenness,closeness,eigenvector,community,eccentricity,authority,hub,farness
174,8,99.96579334296419,0.27869421161416297,0.015256342197843173,4,5,0.015256077886197147,0.015256077822042103,3.5881620727180574
175,7,3.915842423019145,0.3123896896174354,0.03679903273466782,1,5,0.03679864935293755,0.036798649260825635,3.2011299771917536
176,15,803.2260829138235,0.31214620583753094,0.028646471716406708,1,5,0.028646055368600563,0.028646055269125576,3.2036269584532135
177,3,1023.0,0.2386672122106986,0.002812157765832242,6,5,0.0028121302077746464,0.002812130201125648,4.1899345567299235
178,7,6.316023064402075,0.23433796494414993,0.0026903692755224713,1,6,0.0026902883003117805,0.0026902882810843987,4.267340975835184
179,8,0.9472402597402597,0.22741827489469177,0.0028178065330748308,1,6,0.0028177116179441846,0.0028177115953920743,4.397184001431106
180,9,0.860014520959899,0.2602232502206317,0.026163037409658516,3,5,0.026163553337468608,0.026163553462002505,3.84285416138698
181,5,4.059758208356605,0.24509399148687405,0.007965231870935856,4,6,0.007965123424558254,0.007965123398476418,4.080067381225683
182,19,337.38224735097265,0.09081112011825855,4.6920224622009914e-08,2,4,1.0734827119022466e-12,5.725795818386107e-13,11.011867254778407
183,6,33.33267091078523,0.28524471658800016,0.021812024681479088,3,5,0.02181210067089136,0.0218121006890237,3.5057616910898766
184,12,60.815469891680635,0.08966523847638778,7.01106841944269e-08,2,4,1.6052671559809444e-12,8.56226024946151e-13,11.152593992858643
185,7,6.161454491956956,0.28282738848132216,0.020233864360569086,5,5,0.020233777867386827,0.020233777846555893,3.535725466227397
186,5,4.303324404640193,0.25108688532260326,0.005650907023913524,1,6,0.005650769220638769,0.005650769187841074,3.982685112028742
187,14,454.67933718728347,0.30316698114273444,0.025168498212820765,1,5,0.025168130770797048,0.02516813068280883,3.2985122463886944
188,13,83.72962747680924,0.08854791463244524,6.821627075586512e-08,2,4,1.5616779820740695e-12,8.329760698864182e-13,11.293320730938879
189,8,71.76208373026654,0.29275115649821065,0.03515051450424305,4,5,0.035150705410127464,0.0351507054560803,3.415870365677316
190,17,57.81941502933047,0.29041594060156073,0.04483730434854857,3,5,0.0448374385436956,0.044837438573553115,3.443337159553376
191,8,34.47721749289004,0.08121108742004264,3.0256934564761914e-08,2,4,6.927275176674926e-13,3.6949070587855797e-13,12.313589582020585
192,15,129.09974613973432,0.08799963033131555,6.119665845276402e-08,2,4,1.4006095280630776e-12,7.470643298818475e-13,11.363684099978997
193,3,0.0,0.23599503953420872,0.007373380122362923,3,6,0.007373506434115675,0.00737350646449623,4.237377200697664
