UserId,degree,betweenness,closeness,eigenvector,community,eccentricity,authority,hub,farness
448,2,447.99999999999994,0.13191451772265372,3.6877190991405525e-05,3,8,3.687615409473223e-05,3.687615406391494e-05,7.580666762565662
449,4,1.2888888888888888,0.05621547435237605,4.7437000983610535e-08,2,6,4.143723689145349e-14,2.063058059494665e-14,17.7886962890625
450,8,1417.4868974819938,0.22847153752875715,0.017097112215426164,14,6,0.017096843294127927,0.01709684328615257,4.376912812932475
451,6,79.94098656960117,0.23325349994214972,0.0394660542842966,4,6,0.03946626629802422,0.039466266304380264,4.2871811151730395
452,32,2440.9110335443656,0.27681418116409673,0.16803644555466168,4,6,0.16803670382039002,0.16803670382764335,3.6125316838706154
453,7,61.976940405178595,0.2334344568854718,0.056922929543619806,4,6,0.056923337248451875,0.05692333726077279,4.283857718959728
454,3,11.658490734530291,0.17710242196902481,0.0016010604870209698,14,7,0.0016010241195776025,0.0016010241184451117,5.646450166417825
455,4,36.81323933455574,0.17372806866361037,0.002353994147621302,6,7,0.002353984822634752,0.002353984822407262,5.756122241457135
456,2,0.0,0.0029850746268656717,1.11050335650843e-20,62,1,1.5109737005665148e-40,1.534418255204357e-41,335.0
457,4,527.5281635338871,0.2201148609549182,0.012787886913942302,14,6,0.012787699844031886,0.012787699838450017,4.543082623598097
458,3,448.99999999999994,0.17555251745937756,0.001838217517803161,1,7,0.0018381943121795307,0.0018381943115301166,5.696301109617512
459,3,127.0,0.0470264064293915,4.756664686919575e-09,11,7,4.171157278571211e-15,2.0767274048740866e-15,21.2646484375
460,5,5.6319612912685,0.2436413076318811,0.05659567939696345,4,6,0.05659562854911437,0.05659562854718708,4.1043943234408555
461,10,583.5275212648544,0.23397901627167428,0.055685165628599716,4,6,0.05568505132514817,0.05568505132198785,4.27388753031979
462,2,0.0,0.2202759992133039,0.01866338569609122,1,6,0.018663295125862744,0.01866329512313261,4.539759227384785
463,4,13.379899567509456,0.2356280461435968,0.03585222374305072,4,6,0.03585210705260255,0.03585210704858557,4.2439769643999785
464,2,0.0,0.0033582089552238806,5.306514431102482e-20,56,2,3.694198546704116e-39,4.070559977255115e-40,297.77777777777777
465,0,0.0,0.0,0.0,63,0,0.0,0.0,0.0
466,17,360.44174566176065,0.23289242641282754,0.06422806499218843,4,6,0.06422904463100114,0.06422904466233474,4.293827907599664
467,14,93.19769997774185,0.21979329066864367,0.06946730976967658,4,6,0.069468776810639,0.06946877685814559,4.5497294160247215
468,5,19.08733766233766,0.2042749592161393,0.010739710839543302,1,5,0.010739506847679658,0.010739506841652556,4.895362622209214
469,0,0.0,0.0,0.0,64,0,0.0,0.0,0.0
470,1,0.0,0.14970000742555875,0.00032752808773576424,1,7,0.00032751409506027426,0.00032751409463874036,6.680026388757993
471,3,221.89999999999998,0.18924340561344222,0.00344659011798124,1,6,0.003446526357356456,0.0034465263554368858,5.28419997916677
472,58,7059.125421240186,0.28821553153771373,0.23172033016308766,4,6,0.23172244021070346,0.23172244027763636,3.469625646698181
473,2,0.0,0.2152339162556317,0.01280128225643612,14,6,0.01280114447841451,0.012801144474221515,4.646107906210783
474,6,10.209043798670656,0.19848088055763402,0.018300720400949034,4,7,0.018300812936487353,0.01830081293841996,5.038268659381649
475,13,2380.45085731968,0.22916756658444262,0.021432348979966997,14,6,0.02143213953928393,0.02143213953227285,4.363619228079226
476,3,18.513986857655585,0.18104513533415953,0.005693456885912628,4,7,0.005693545292748776,0.005693545295514681,5.523484506525265
477,0,0.0,0.0,0.0,65,0,0.0,0.0,0.0
478,8,239.37842645328075,0.1789988191108704,0.0030299243371585166,14,7,0.0030298664992229325,0.003029866497361629,5.586629034578201
479,1,0.0,0.1898403879655351,0.003213644653140748,14,6,0.0032135943270278377,0.0032135943255055853,5.267582998100208
480,6,514.6139074726343,0.2279522840343736,0.022933981422220525,1,5,0.02293364770742925,0.022933647697398477,4.3868830015724125
481,11,952.673190554281,0.20100000997018916,0.006873798411249024,3,6,0.006873650860027499,0.006873650855612553,4.975124131328713
482,4,2.260248493336728,0.2222282237262726,0.025966405148449345,4,6,0.025966566611011276,0.025966566616218066,4.499878472825036
483,1,0.0,0.2181994306928014,0.014880463250573796,4,6,0.014880432072535513,0.014880432071591943,4.582963378157847
484,6,31.68470892884205,0.051918750198054316,3.568084259745054e-08,2,7,3.129637019906605e-14,1.5581778107275017e-14,19.2608642578125
485,1,0.0,0.13917530755105142,9.333765778524723e-05,1,8,9.333580424857988e-05,9.333580419578337e-05,7.185182613181482
486,4,522.6764601919992,0.19251248555686065,0.0035972105240737787,14,6,0.0035971467273324246,0.0035971467254004843,5.1944682814073335
487,8,7.775344282910074,0.0476680922871025,5.202091141247681e-08,2,7,4.494565930698681e-14,2.2376994586503997e-14,20.9783935546875
