UserId,degree,betweenness,closeness,eigenvector,community,eccentricity,authority,hub,farness
1,2,0.0,0.2454647139012199,0.0012348119275254216,1,7,0.0012347909388065487,0.0012347909112656126,4.0739053043787825
2,21,42.48183110519578,0.09767656562548084,5.763076053834525e-08,2,3,2.2280874664568523e-11,1.2710594482591102e-11,10.237870195337115
3,6,48.56275392582131,0.2901409905489852,0.006874300767535914,1,6,0.00687421350214313,0.006874213387791279,3.4466002135991456
4,26,50.34339196969017,0.3260137879807804,0.06214331174151326,3,5,0.062144056846236494,0.062144057829500485,3.0673549305802776
5,15,90.74242015871667,0.3383807355474444,0.03556685007977382,1,6,0.03556653894316585,0.035566538532402346,2.9552509789960837
6,21,80.76092226820892,0.28598480992038444,0.029854540762490694,1,6,0.0298542502144614,0.02985424982630576,3.496689213243147
7,20,141.4080673085711,0.09602662363856392,3.014877377517897e-08,2,3,1.1655338029800998e-11,6.649032562936409e-12,10.41377861793741
8,12,44.88394551001157,0.32652159761937977,0.031760609821692896,1,6,0.03176040812115178,0.031760407854250626,3.062584549661801
9,14,1.7424081526325572,0.2785739078692914,0.02380919923143503,3,6,0.023809607610608845,0.023809608149604894,3.589711641153435
10,17,2.378074442562663,0.28156731453544903,0.03407037768533538,3,6,0.034070996350618984,0.034070997167204825,3.5515485938056246
11,4,0.0,0.29671177023586953,0.009204016489364239,1,6,0.009203963568223658,0.00920396349916133,3.370274118903524
12,18,36.58656333350872,0.2893400492362206,0.03842513339210463,3,6,0.038425500802942485,0.03842550128732288,3.456140975436098
13,4,11.321217536114377,0.24150560561249051,0.001226244337024144,1,7,0.001226224219314764,0.0012262241930154217,4.1406906372374515
14,14,9.162763446514866,0.27277406073082866,0.02204197276280627,3,6,0.02204208776692487,0.022042087917685527,3.666037735849056
15,153,16854.4253966354,0.4483997126666135,0.19130008806556406,1,5,0.19129879005633682,0.19129878835097236,2.2301530793876823
16,11,21.771282467006294,0.2962923896418965,0.016643664962267424,1,6,0.016643461003063242,0.016643460733689615,3.3750444998220006
17,17,29.512224532102284,0.34141183334143616,0.04580902014042661,1,6,0.04580861731812041,0.045808616784616465,2.929013883944464
18,14,70.04683945348864,0.09349960722702277,1.8768735329419904e-08,2,3,7.2560482385202745e-12,4.139365439847499e-12,10.695232094097879
19,21,207.88521550486195,0.10008408660920748,3.267411242648588e-08,2,3,1.2631852187159005e-11,7.206105877253794e-12,9.991598403696702
20,13,149.27947708714132,0.28213575460517065,0.009338836022251119,1,6,0.009338755498459922,0.009338755392896891,3.54439302242791
21,13,25.69558579394102,0.08006726928736599,1.5929808005275188e-08,2,4,6.158306081967459e-12,3.5131351033571688e-12,12.489498004620877
22,13,5.284812612343043,0.3285687549712254,0.03869346476250018,1,6,0.03869316390040437,0.03869316350211183,3.0435030259878957
23,36,558.9404118876782,0.35925769609535874,0.07157355354702068,1,5,0.07157289604911155,0.0715728951793664,2.7835172659309357
24,12,47.90255851372913,0.08854791463244524,1.9961300180881814e-08,2,4,7.716888174869665e-12,4.402260987398247e-12,11.293320730938879
25,12,24.932529344788488,0.08665817255187477,1.3596474882807525e-08,2,3,5.2564730401134705e-12,2.9986657186778547e-12,11.53959252257929
26,16,172.89703736798575,0.3058014087113666,0.012077528044223877,1,6,0.012077361551411911,0.012077361333950138,3.2700961196155216
27,12,11.773505433496322,0.28540077014518966,0.021074072218242382,3,6,0.02107439731820168,0.021074397747236212,3.503844784620861
28,15,2.281802092026496,0.27875912988250245,0.024699778815252614,3,6,0.024700208252494905,0.024700208819290394,3.5873264506941966
29,2,0.0,0.2429048269659812,0.0015308575078136345,1,7,0.0015308324232982697,0.001530832390480505,4.1168387326450695
30,102,4510.767769186096,0.38783878940174243,0.16546428298847252,3,5,0.16546568555756738,0.16546568740940662,2.578390886436454
31,12,513.5845910097854,0.3197968965242438,0.017588469282996164,1,6,0.01758823971455576,0.017588239413551476,3.126984692061231
32,15,16.189550854171227,0.09667986597624123,4.7101911392084995e-08,2,3,1.8210244804503827e-11,1.038841786490018e-11,10.343415248897292
33,9,10.965978396633298,0.33810784785748677,0.03292826063173165,1,6,0.03292817491970501,0.032928174807184254,2.957636169455322
34,21,50.89730498837865,0.32475114743863953,0.04239281257922768,3,5,0.04239299227828268,0.042392992514314616,3.079280882876468
35,2,0.0,0.23875497229116377,0.0011058669809227582,1,7,0.0011058573936975858,0.0011058573810284365,4.1883944464222145
36,32,398.330613148938,0.10079390282629405,5.803913085971679e-08,2,4,2.2437633908941968e-11,1.2800019676609431e-11,9.921235034656586
37,14,19.963501002216752,0.3176164631388512,0.03818903428606929,3,6,0.03818929732366848,0.038189297670577396,3.148451406194375
38,20,259.47784249832927,0.345918920250234,0.034802104691801415,1,6,0.034801791139285866,0.034801790729010636,2.890850836596653
39,17,37.799023177658604,0.09349960722702277,3.9137965403036416e-08,2,3,1.5131320618862607e-11,8.631980775203387e-12,10.695232094097879
40,12,34.02162764353028,0.27259670438444966,0.0070887667683407945,4,7,0.007088629285504947,0.007088629106623235,3.6684229263082946
41,23,302.8172691806239,0.3447810290652003,0.046647753325589215,1,5,0.046647377898188375,0.04664737740010985,2.900391598433606
42,11,35.31563802691276,0.25533113967313253,0.003768877436094174,4,7,0.003768799803960336,0.003768799702955903,3.9164827340690636
43,24,60.58047550416647,0.32004101629258286,0.042629152726378385,3,5,0.04262932979496638,0.04262933002727864,3.1245995016019936
44,9,12.46935207089224,0.08484740476720873,1.1281291670672631e-08,2,3,4.361401254169462e-12,2.4880531643205735e-12,11.785864314219703
45,6,0.0,0.25992171812974807,0.007289936215205505,1,7,0.007289842214984336,0.007289842090533846,3.8473122107511566
46,5,39.6055220070591,0.2925706429471623,0.006446539718568264,1,6,0.0064464566413868565,0.006446456532479616,3.4179779280882876
47,16,11.540591900336683,0.08459488272921108,2.8631851067993254e-08,2,4,1.1069534358627056e-11,6.3148492475217134e-12,11.821045998739763
48,34,2521.3417725361555,0.3633047931917535,0.04502794964401269,1,6,0.045027535859741646,0.04502753531876825,2.75250978996084
